group,cond,RQI,Phi_z,Syn_z
A,ses-1,-1.3542323692131177,-1.6048495198939599,0.2506171506808421
A,ses-1,-1.5040522452499623,-2.2035178603434376,0.6994656150934754
A,ses-1,-0.7539459686953838,-1.082375331865326,0.32842936316994226
A,ses-1,-0.7235645941719351,-1.082375331865326,0.35881073769339084
A,ses-1,-0.8694516739961,-1.1449633856395884,0.2755117116434884
A,ses-1,-1.2719855144099972,-1.3408912061503238,0.06890569174032651
A,ses-1,-0.44758752619666725,-0.685077251385215,0.23748972518854777
A,ses-1,-1.4045599083564309,-1.4987219504506395,0.09416204209420856
A,ses-1,-0.06577972735872117,-0.6769135921972663,0.6111338648385451
A,ses-1,0.2558280833930187,-0.48098577168653195,0.7368138550795507
A,ses-1,-2.246176950592853,-2.2035178603434376,-0.04265909024941531
A,ses-1,-1.5728167371129862,-1.1449633856395873,-0.4278533514733989
A,ses-1,-1.6027078936811083,-0.17620916200316336,-1.426498731677945
A,ses-1,-1.9873258953091317,-0.36941576278458577,-1.617910132524546
A,ses-1,0.09285332797138246,0.8115935997384776,-0.7187402717670951
A,ses-1,0.02528533618568933,0.14372852902925454,-0.1184431928435652
A,ses-1,-6.522338953758118,-0.4102340587243217,-6.112104895033797
A,ses-1,-4.4284565475884135,-0.021099637432156308,-4.407356910156257
A,ses-1,-1.6923224333402556,-0.7748775024526323,-0.9174449308876232
A,ses-1,-1.6195958192665338,-1.1449633856395873,-0.47463243362694657
A,ses-1,-2.273630380452033,-1.700092210420013,-0.5735381700320198
A,ses-1,-1.8440858883660454,-1.700092210420013,-0.14399367794603243
A,ses-1,-2.3529606971491632,-2.2035178603434376,-0.1494428368057256
A,ses-1,-0.0022569853399191375,-0.5081979689796899,0.5059409836397708
A,ses-1,-0.036445176028438275,-0.21158501848426794,0.17513984245582967
A,ses-1,-1.5350347354910825,-0.3558096641380046,-1.1792250713530779
A,ses-1,-1.038597832870345,-0.7748775024526323,-0.2637203304177126
A,ses-1,1.3683650015320707,0.22381013820626158,1.1445548633258091
A,ses-1,-0.6703969332600503,-1.1449633856395873,0.47456645237953704
A,ses-1,-0.8007302876600528,-1.1177511883464293,0.31702090068637645
A,ses-1,0.7138311207502301,-0.18437282119110882,0.8982039419413389
A,ses-1,0.33035575857236166,-0.14355452525137177,0.4739102838237334
A,ses-1,-1.7587851550155085,-1.9722141833515943,0.21342902833608582
A,ses-1,-2.305763965436157,-2.1354873671105423,-0.17027659832561481
A,ses-1,-1.1364525373926204,-0.9871326413392728,-0.14931989605334772
A,ses-1,-1.064935767078103,-0.48098577168653195,-0.583949995391571
A,ses-1,-1.529299784962704,-1.0143448386324307,-0.5149549463302732
A,ses-1,-1.0020538374963384,-1.1449633856395873,0.1429095481432489
A,ses-1,-2.298535893268139,-2.0810629725242262,-0.2174729207439127
A,ses-1,-1.2703614553286884,-1.1177511883464293,-0.15261026698225907
A,ses-1,-0.22193826670636796,-0.829301897038956,0.607363630332588
A,ses-1,-0.012379334862150426,-0.1843728211911099,0.17199348632895947
A,ses-1,-0.08957421427707579,-0.3149913681982687,0.22541715392119288
A,ses-1,0.21192859861702867,-0.4129552784536347,0.6248838770706634
A,ses-1,-0.20009464442892927,-0.37213698251389876,0.1720423380849695
A,ses-1,-0.9099257745486352,-0.9871326413392728,0.07720686679063758
A,ses-1,-0.7855099670023524,-0.802089699745798,0.016579732743445583
A,ses-1,-1.629118051132405,-0.8701201929786941,-0.758997858153711
A,ses-1,-1.2486407844067833,-0.9245445875650091,-0.3240961968417741
A,ses-1,-0.8415922403685334,-1.1449633856395873,0.30337114527105397
A,ses-1,-0.5750335492287403,-1.1449633856395873,0.569929836410847
A,ses-1,-0.9310144691556768,-1.0143448386324296,0.0833303694767529
A,ses-1,-0.3674693544850506,-0.8565140943321162,0.48904473984706565
A,ses-1,-1.891781677961898,-1.0143448386324307,-0.8774368393294671
A,ses-1,-1.143504586786069,-1.0143448386324307,-0.12915974815363818
A,ses-1,0.5671602701849441,-0.48098577168653195,1.048146041871476
A,ses-1,0.947775186625746,-0.48098577168653195,1.428760958312278
A,ses-1,0.6300584478033857,-0.48098577168653195,1.1110442194899177
A,ses-1,-0.5463989557865798,-1.1449633856395873,0.5985644298530075
A,ses-1,-0.00286984675718005,-0.8565140943321151,0.8536442475749351
A,ses-1,0.3352552963312059,-0.9517567848581661,1.287012081189372
A,ses-1,-0.5197207842778855,-1.0143448386324307,0.49462405435454526
A,ses-1,-1.4691387486979912,-0.9517567848581661,-0.5173819638398252
A,ses-1,-1.5908198178441766,-1.1449633856395873,-0.4458564322045892
A,ses-1,-0.6318000067779703,-1.1449633856395873,0.513163378861617
A,ses-1,-1.9399333421842304,-2.2171239589900162,0.2771906168057859
A,ses-1,-1.3567017820232892,-2.1354873671105423,0.7787855850872532
A,ses-1,-2.050029878017753,-2.2171239589900162,0.16709408097226308
A,ses-1,-2.45677770194131,-1.6864861117734349,-0.7702915901678751
A,ses-1,-1.0743948505362604,-1.0143448386324307,-0.0600500119038297
A,ses-1,-2.081660816021904,-2.1354873671105423,0.05382655108863803
A,ses-1,-2.5143006074759144,-2.1354873671105423,-0.3788132403653721
A,ses-1,-1.9344808315595594,-2.1354873671105423,0.20100653555098297
A,ses-1,0.03952844717831083,-0.685077251385215,0.7246056985635259
A,ses-1,-2.084485203235187,-1.0143448386324307,-1.070140364602756
A,ses-1,-1.1999390678691135,-1.1177511883464293,-0.08218787952268428
A,ses-1,-0.7163639231443828,-1.3408912061503229,0.6245272830059401
A,ses-1,-0.8437372615297161,-1.1177511883464293,0.2740139268167132
