group,cond,RQI,Phi_z,Syn_z
A,ses-1,-1.64037612877428,-1.80733217620897,0.16695604743469003
A,ses-1,-1.3157037930225894,-1.5868184925828495,0.27111469956026013
A,ses-1,-0.3285118412919397,-0.05424839138130805,-0.2742634499106317
A,ses-1,-2.436064496340046,-1.777930351725487,-0.6581341446145589
A,ses-1,-1.0908946463813727,-0.09100067198566146,-0.9998939743957111
A,ses-1,-1.204747446699244,-1.770579895604615,0.5658324489053709
A,ses-1,-0.8464542314832832,-1.5868184925828495,0.7403642610995662
A,ses-1,1.199653438873803,0.8498577114857895,0.3497957273880134
A,ses-1,1.4872205891848456,0.6624210804035865,0.824799508781259
A,ses-1,1.1269207710747424,0.9417384129966745,0.18518235807806793
A,ses-1,1.741728448746986,1.1107989037766948,0.6309295449702913
A,ses-1,1.5351269975122195,0.8388320273044817,0.6962949702077379
A,ses-1,1.4032745164317237,0.6072926594970564,0.7959818569346673
A,ses-1,2.4092839195246607,0.7285751854914229,1.6807087340332378
A,ses-1,2.109632331756172,0.8682338517879632,1.2413984799682085
A,ses-1,2.1307294577282847,0.8682338517879632,1.2624956059403214
A,ses-1,0.6693861367800854,0.0266066259482677,0.6427795108318177
A,ses-1,1.2542363876042049,0.7285751854914229,0.5256612021127819
A,ses-1,1.2065042240551733,0.9233622726944933,0.28314195136068
A,ses-1,1.5303625336919102,0.7285751854914229,0.8017873482004874
A,ses-1,0.7206215400936755,0.7285751854914229,-0.007953645397747391
A,ses-1,0.9885234810713329,0.8498577114857895,0.13866576958554347
A,ses-1,1.0971220779984698,0.8572081676066599,0.23991391039181004
A,ses-1,0.7624162540488917,-0.24168502246351103,1.0041012765124027
A,ses-1,-0.9390074923290975,-1.6676735099124282,0.7286660175833307
A,ses-1,0.5567688964811499,0.8682338517879632,-0.3114649553068133
A,ses-1,-0.36816589489925367,1.0372943425679895,-1.4054602374672431
A,ses-1,0.10448700562999602,0.7726779222166482,-0.6681909165866522
A,ses-1,-1.311313570945721,-1.6051946328850248,0.29388106193930374
A,ses-1,-2.9674698718830292,-1.770579895604615,-1.1968899762784142
A,ses-1,-3.2873170482008165,-0.6937380738970569,-2.5935789743037594
A,ses-1,-3.6690440940158178,-1.0869874763636411,-2.5820566176521766
A,ses-1,-1.8200141110586685,-0.7488664948035885,-1.07114761625508
A,ses-1,-2.6719348257371407,-1.4839121068906596,-1.1880227188464811
A,ses-1,-1.172713717292835,-0.7966444595892467,-0.3760692577035883
A,ses-1,2.4435862817317004,0.9895163777823313,1.4540699039493692
A,ses-1,2.7277639969670386,0.9233622726944948,1.8044017242725439
A,ses-1,-1.1392155454218942,-1.6492973696102529,0.5100818241883587
A,ses-1,-1.1665654656225597,-0.8517728804957813,-0.31479258512677843
A,ses-1,-1.5368036335456914,-0.8885251611001317,-0.6482784724455596
A,ses-1,1.936697111890308,1.074046623172343,0.8626504887179651
A,ses-1,2.4361646772548062,1.0924227634745167,1.3437419137802895
A,ses-1,2.3945316113343074,0.9049861323923181,1.4895454789419895
A,ses-1,0.6909496361031835,0.1589148361239391,0.5320347999792444
A,ses-1,0.8174179425094493,-0.02852179495826095,0.8459397374677102
A,ses-1,0.9794534330968286,0.6256687997992331,0.3537846332975956
A,ses-1,-0.877282842179369,-0.09467590004609738,-0.7826069421332716
A,ses-1,-0.08151811892283833,0.04130753819000995,-0.12282565711284828
A,ses-1,0.33046832322131436,-0.6974133019574957,1.02788162517881
A,ses-1,2.714847575906326,0.7175495013101181,1.9972980745962081
A,ses-1,1.2811921272345994,-0.18655660155698092,1.4677487287915802
A,ses-1,1.2694393839438205,0.9601145532988468,0.30932483064497385
A,ses-1,1.452930429026736,0.9233622726944948,0.5295681563322412
A,ses-1,1.8270807877597952,0.8388320273044831,0.9882487604553122
A,ses-1,1.6122076344168468,0.8755843079088336,0.7366233265080133
A,ses-1,2.0190445090721036,0.8755843079088351,1.1434602011632684
A,ses-1,1.690249419835903,0.8755843079088351,0.8146651119270678
A,ses-1,0.47761570269827835,0.6440449401014098,-0.16642923740313142
A,ses-1,1.2205219112824373,1.1107989037766948,0.10972300750574253
A,ses-1,1.3856113836667758,1.0372943425679881,0.34831704109878764
A,ses-1,0.4219635617407804,0.91233658851319,-0.49037302677240957
A,ses-1,0.2665180726759469,0.5778908350135719,-0.31137276233762495
A,ses-1,1.4671945561775692,1.0372943425679866,0.4299002136095826
